# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=429555704
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-30.6958,0.999549,0.367259,2,3,0,30.8912,-0.196543
-30.7441,0.990526,0.685069,2,5,0,31.0303,0.225672
-30.3001,1,1.23224,2,3,0,30.6709,-0.0424797
-30.3788,0.934437,2.25742,1,1,0,30.4245,-0.0936074
-30.3788,0.0473082,3.38392,1,1,0,30.3959,-0.0936074
-30.7977,0.985971,0.390868,2,7,0,31.5703,0.237691
-31.0367,0.980209,0.684578,2,5,0,31.3754,-0.267315
-30.443,0.914684,1.16859,1,3,0,31.7402,0.138921
-30.3206,0.741346,1.64467,2,3,0,31.0658,-0.0596032
-31.7742,0.685028,1.42024,1,3,0,31.796,-0.378414
-31.3168,1,1.0524,1,1,0,31.7755,-0.31404
-31.6893,0.934904,1.85693,2,3,0,31.7296,0.384979
-30.5338,1,2.71989,1,1,0,30.5696,-0.152382
-30.5338,0.0410413,4.71781,1,3,1,30.9249,-0.152382
-30.5566,0.998495,0.625575,1,1,0,30.5655,-0.159286
-30.3115,0.964432,1.08392,1,3,0,30.841,0.0702657
-30.3192,0.939659,1.70217,2,3,0,30.435,-0.0585673
-30.3192,0.0349506,2.48791,1,1,0,31.3085,-0.0585673
-30.2956,0.999594,0.347592,2,5,0,30.358,-0.0378922
-31.4171,0.938262,0.596323,2,5,0,32.1393,0.346885
-30.2961,1,0.86774,2,3,0,31.2751,0.0561587
-30.2961,0.386723,1.46771,1,3,0,33.1333,0.0561587
-31.4066,0.967753,0.528046,2,7,0,31.4215,0.345337
-32.2468,0.725002,0.820672,2,3,0,35.6784,0.452917
-32.2257,1,0.694973,2,3,0,32.3959,0.45054
-31.6695,1,1.15925,1,1,0,32.2928,0.382343
-30.7041,0.832895,1.91952,2,3,0,31.4278,0.216242
-30.6273,1,2.10532,1,1,0,30.9301,0.196813
-30.6273,9.56459e-026,3.44694,1,1,0,32.2311,0.196813
-30.6303,0.998649,0.514102,3,15,0,30.7328,-0.179944
-30.8873,0.9899,0.841319,2,3,0,30.8873,-0.238791
-31.0778,0.974388,1.33971,2,3,0,31.3211,-0.274654
-31.0778,0,18.3956,0,1,1,31.0786,-0.274654
-31.0778,1.62698e-016,3.06626,1,1,0,31.2207,-0.274654
-32.1109,0.983796,0.300058,2,5,0,32.2901,-0.419667
-32.0395,1,0.385581,1,1,0,32.1413,-0.41126
-32.079,0.996683,0.599863,1,1,0,32.2116,-0.415933
-31.6563,1,1.00739,1,1,0,32.2111,-0.362887
-30.2975,1,1.79853,1,1,0,30.818,-0.0398467
-30.2975,3.30262e-014,3.30727,1,1,0,31.9584,-0.0398467
-30.2808,0.999907,0.262644,3,11,0,30.3151,0.0353592
-30.2829,0.999901,0.49152,2,3,0,30.284,0.0390058
-30.2813,1,0.927673,1,1,0,30.2836,0.0362255
-30.2813,0.527211,1.75558,1,1,0,30.5677,0.0362255
-30.2769,0.997749,0.753155,1,3,0,30.3079,-0.0090435
-30.2867,0.995442,1.41752,1,1,0,30.288,-0.0271051
-30.2867,0.0747564,2.63433,1,1,0,30.4453,-0.0271051
-30.3669,0.997921,0.28604,2,5,0,30.4418,-0.0876284
-30.3127,0.999342,0.538658,2,5,0,30.3984,0.0712337
-30.338,0.986513,1.01041,2,3,0,30.4314,0.0889495
-31.1339,0.544668,1.80721,1,1,0,31.3141,0.302045
-32.0786,0.949975,0.858129,2,3,0,32.0817,0.433572
-31.354,1,1.36803,1,1,0,32.1955,0.337435
-31.354,4.95236e-009,2.50668,1,1,0,31.8703,0.337435
-30.9763,0.996268,0.248571,2,5,0,31.8556,0.273835
-30.4824,0.986158,0.452758,1,3,0,31.4257,0.153248
-30.6722,0.85584,0.793273,2,3,0,32.0861,0.208393
-30.4752,0.915949,0.951886,1,3,0,31.41,-0.133052
-30.7657,0.883878,1.34826,1,1,0,30.8351,-0.212904
-30.5706,0.982549,1.73641,1,3,0,30.6517,0.181082
-30.5706,1.55406e-009,2.92443,1,1,0,30.8901,0.181082
-30.3179,0.998727,0.331175,2,5,0,30.7023,0.0752528
-30.2763,0.992199,0.585789,1,3,0,30.4756,-0.00727276
-30.2864,0.939466,1.00861,2,3,0,30.678,0.0444159
-30.2871,0.999882,1.49509,2,3,0,30.2875,-0.0276712
-30.2871,0.018852,2.5846,1,1,0,30.5805,-0.0276712
-30.3203,0.998643,0.335788,2,7,0,30.399,0.0770172
-30.6231,0.974476,0.580367,2,7,0,30.8636,-0.178018
-30.951,0.935294,0.934198,1,1,0,30.9642,-0.251339
-31.0842,0.944852,1.34974,1,1,0,31.3633,-0.27578
-30.7766,1,1.98692,1,1,0,31.386,-0.215341
-30.7766,0.000315551,3.34308,1,3,1,30.918,-0.215341
-30.4216,0.994491,0.45347,2,5,0,31.0724,0.130414
-30.6403,0.872713,0.754893,1,3,0,31.9293,-0.182567
-31.0298,0.925409,0.922766,1,1,0,31.0383,-0.266054
-30.747,1,1.28006,1,1,0,31.0747,-0.208639
-30.747,0.0804797,2.12001,1,1,0,30.956,-0.208639
-30.4581,1,0.375862,3,9,0,30.7386,0.144576
-30.4931,0.986537,0.623319,3,7,0,30.9193,0.156905
-30.4903,1,0.993954,2,3,0,30.5417,0.155953
-30.6717,0.942981,1.62596,2,3,0,30.6882,-0.190595
-30.6717,0.215076,2.3099,1,3,0,30.6726,-0.190595
-30.818,0.983473,0.594072,3,7,0,31.3661,-0.224397
-31.6051,0.655101,0.929026,1,3,0,34.1253,0.373627
-30.9707,0.997444,0.676194,2,5,0,31.6744,-0.255085
-30.9255,1,1.08458,2,3,0,31.1276,-0.246392
-30.9255,0.199921,1.73922,1,1,0,32.4051,-0.246392
-30.2806,0.993563,0.451758,3,7,0,31.3517,-0.017411
-30.4342,0.987145,0.713574,2,3,0,30.4345,-0.117788
-30.3255,0.966241,1.10474,2,3,0,30.6773,-0.0631098
-30.3255,0.923024,1.62384,1,3,0,30.4074,-0.0631098
-30.309,1,2.15901,1,1,0,30.3552,-0.0504923
-30.309,4.68183e-014,3.38868,1,1,0,30.9228,-0.0504923
-30.6691,0.965701,0.59374,2,7,0,31.0147,-0.189947
-30.5864,0.869927,0.866771,1,3,0,31.986,0.185605
-30.612,0.993742,1.02415,1,1,0,30.6823,0.192703
-32.5724,0.320392,1.57607,1,1,0,32.8661,0.488163
-31.472,0.998053,0.572097,2,3,0,32.7041,0.354906
-31.9923,0.96958,0.887,2,3,0,32.0884,0.423296
-30.5352,0.85492,1.28857,2,3,0,32.8625,-0.152828
-32.823,0.317471,1.46481,1,1,0,32.9559,-0.495937
-32.801,1,0.54028,1,1,0,32.9846,-0.493748
-31.7854,1,0.83319,1,1,0,32.6735,-0.379859
-30.4017,1,1.27895,1,1,0,31.2594,-0.104253
-30.4339,0.990564,1.95432,1,3,0,30.4344,0.135353
-31.4625,0.0598221,2.9162,1,3,0,32.4798,-0.33586
-31.6075,0.985771,0.650384,1,1,0,31.6753,-0.35627
-31.2919,1,0.962472,1,1,0,31.684,-0.310159
-30.2899,1,1.45994,1,1,0,30.8003,-0.0313299
-30.7801,0.57282,2.20526,1,1,0,30.9136,0.233803
-30.8754,0.985489,1.41334,2,3,0,31.1088,0.254067
-30.8819,0.993537,2.06596,1,1,0,31.4854,0.255388
-30.8819,1.96632e-023,3.05702,1,1,0,31.5017,0.255388
-30.4637,0.839973,0.63741,2,5,0,33.8423,-0.128938
-30.5251,0.997669,0.699357,2,3,0,30.5303,-0.149651
-30.7044,0.955448,1.04261,1,1,0,30.7358,-0.19864
-30.289,1,1.42665,1,1,0,30.5112,-0.030239
-30.289,5.59994e-013,2.12137,1,1,0,36.3356,-0.030239
-30.3333,0.996389,0.459302,1,3,0,30.3803,-0.0683012
-30.3112,0.977987,0.679239,1,3,0,30.6742,0.069999
-30.2858,1,0.966408,1,1,0,30.3056,0.0435165
-30.3797,0.956137,1.42906,1,1,0,30.3845,0.111771
-30.3797,7.96862e-005,1.93835,1,1,0,33.0246,0.111771
-30.7537,0.977446,0.434255,2,7,0,31.2853,0.227867
-30.8523,0.991339,0.614492,1,1,0,30.8648,0.249305
-30.5514,0.863741,0.889637,1,3,0,32.1646,-0.157738
-30.2756,0.998482,1.01306,1,3,0,30.5408,-0.00483059
-31.1057,0.654458,1.47821,1,1,0,31.1076,-0.279521
-31.4183,0.909207,1.14129,1,1,0,31.6185,-0.329391
-31.4183,0.619581,1.40864,1,1,0,32.4717,-0.329391
-31.2114,1,1.0228,1,1,0,31.5495,-0.297289
-31.2114,0.000460259,2.97389,1,3,1,31.392,-0.297289
-31.2114,0,6.95005,0,1,1,32.5377,-0.297289
-30.992,1,0.68544,1,1,0,31.209,-0.259089
-31.5332,0.934381,0.713989,1,1,0,31.5333,-0.34596
-31.3908,0.994965,0.800688,3,7,0,31.683,0.342976
-30.3659,0.958209,1.22355,1,3,0,31.2434,-0.0871395
-30.3659,0.665247,1.82227,1,1,0,30.6487,-0.0871395
-31.4128,0.773035,1.14377,1,3,0,31.4174,-0.328572
-32.1776,0.822772,1.0183,1,1,0,32.3277,-0.427379
-30.4431,1,1.07652,1,3,0,31.7121,-0.121253
-30.2861,1,2.01694,1,1,0,30.3543,-0.026231
-30.2861,2.01454e-017,3.8052,1,1,0,31.3904,-0.026231
-30.278,0.999067,0.308267,3,11,0,30.3575,0.0295072
-30.3369,0.997044,0.587158,2,7,0,30.3371,-0.070625
-30.7458,0.911142,1.10903,1,3,0,30.7461,-0.208364
-31.2875,0.78177,1.59773,1,3,0,31.3609,0.327162
-30.7659,0.948539,1.54148,2,3,0,31.2125,-0.212944
-30.7659,9.93772e-007,2.48012,1,1,0,34.1477,-0.212944
-30.77,0.999949,0.223849,1,1,0,30.7742,-0.213872
-31.308,0.970492,0.424659,1,3,0,31.5866,-0.312683
-30.5367,0.99114,0.731082,3,7,0,31.5609,0.170952
-30.6303,0.98675,1.32691,2,3,0,30.6623,-0.179945
-30.353,1,2.35514,1,1,0,30.3552,0.0978465
-30.353,2.1323e-171,4.30378,1,1,0,33.0474,0.0978465
-30.289,0.997399,0.436307,1,3,0,30.4424,0.0479227
-30.2776,0.968559,0.795044,3,7,0,30.5935,-0.0108445
-30.2776,0.348408,1.32182,1,3,0,33.2119,-0.0108445
-30.4706,0.992471,0.381764,4,15,0,30.6816,-0.13143
-30.2738,0.999964,0.676972,2,5,0,30.4564,0.0102496
-31.0191,0.609465,1.21392,2,3,0,32.2279,-0.264093
-30.9269,1,0.739858,1,1,0,31.065,-0.246664
-30.6533,1,1.31314,2,3,0,30.9646,0.203601
-30.3292,1,2.30879,1,1,0,30.3396,-0.0655957
-30.3292,1.47723e-056,4.02221,1,1,0,31.3596,-0.0655957
-30.3542,0.992563,0.490442,2,5,0,30.5639,0.0985258
-30.3905,0.954877,0.840711,2,7,0,30.7594,-0.0991701
-30.3314,1,1.29506,2,3,0,30.3983,0.0847343
-30.2909,1,2.2269,1,1,0,30.3286,0.0502669
-30.2909,1.38354e-008,3.79711,1,1,0,30.442,0.0502669
-30.2956,0.999904,0.50193,2,3,0,30.2956,0.0555425
-30.3824,0.965994,0.858217,1,3,0,30.5591,-0.0953469
-32.4594,0.401313,1.33677,1,1,0,32.4724,-0.458556
-32.3304,1,0.506246,1,1,0,32.5314,-0.444544
-31.6412,1,0.855324,1,1,0,32.2942,-0.360856
-30.2802,1,1.43409,1,1,0,30.957,-0.0165141
-30.8446,0.453455,2.38664,1,1,0,31.2156,-0.230028
-30.3183,1,1.04931,1,3,0,30.7189,-0.0578785
-30.3502,0.991133,1.73739,1,3,0,30.3522,0.0962415
-30.3502,2.26329e-016,2.79669,1,1,0,31.9865,0.0962415
-31.2348,0.970719,0.425758,3,15,0,31.5628,-0.30109
-31.2958,0.993586,0.655003,1,1,0,31.3749,-0.31077
-30.6019,1,1.05692,2,3,0,31.1177,-0.172259
-30.6019,0.833174,1.72011,1,3,0,30.7168,-0.172259
-30.4749,1,1.89166,1,3,0,30.4902,0.150651
-30.4749,0.0147976,3.04748,1,3,1,30.4884,0.150651
-30.2823,0.999968,0.515267,2,7,0,30.4721,-0.020475
-30.3349,0.966477,0.831682,2,3,0,30.5729,-0.0693466
-30.7754,0.847142,1.23732,1,1,0,30.7789,-0.21508
-30.7754,0.495183,1.40205,1,1,0,31.7528,-0.21508
